"year","month","day","latitude","longitude","species","speciesKey","kingdom","stateProvince","countryCode"
1736,NA,NA,54.799262,-1.612656,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,50.16007,-5.571641,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.072458,0.697918,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.237181,1.293846,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,50.455589,-4.60754,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,50.175935,-5.012492,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,53.002296,-1.926943,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.282578,-1.634956,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,50.265745,-5.018159,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.637574,-0.893146,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.550993,-1.337774,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.143265,1.433096,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.193038,-1.781981,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,53.270069,-2.676199,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.103312,-1.928416,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.10331,-2.074413,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.727454,-0.890871,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.012317,-2.511366,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,51.365561,0.081484,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,53.181506,-2.375537,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,55.849891,-4.637227,"Micromys minutus",5219833,"Animalia","Scotland","GB"
1736,NA,NA,52.057668,1.280614,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.162263,0.703348,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.459062,-2.958052,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.883909,-4.602284,"Micromys minutus",5219833,"Animalia","Wales","GB"
1736,NA,NA,52.524766,0.578131,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.155205,0.995344,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,53.002105,-2.224966,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,53.360708,-2.527372,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.544535,-3.402307,"Micromys minutus",5219833,"Animalia","Wales","GB"
1736,NA,NA,52.192677,-1.635692,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.637542,-3.109723,"Micromys minutus",5219833,"Animalia","Wales","GB"
1736,NA,NA,52.338407,0.860897,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.248617,0.855114,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.550076,-1.19031,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,52.725941,-3.260043,"Micromys minutus",5219833,"Animalia","Wales","GB"
1736,NA,NA,50.164288,-5.431901,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,55.853209,-4.477664,"Micromys minutus",5219833,"Animalia","Scotland","GB"
1736,NA,NA,50.64127,-4.334917,"Micromys minutus",5219833,"Animalia","England","GB"
1736,NA,NA,53.463844,-1.421566,"Micromys minutus",5219833,"Animalia","England","GB"
1800,NA,NA,51.652693,-2.507307,"Micromys minutus",5219833,"Animalia","England","GB"
1830,NA,NA,53.167395,-3.871337,"Micromys minutus",5219833,"Animalia","Wales","GB"
1843,NA,NA,53.741323,-2.782295,"Micromys minutus",5219833,"Animalia","England","GB"
1843,NA,NA,53.898237,-2.83849,"Micromys minutus",5219833,"Animalia","England","GB"
1854,10,3,60.671236,25.285379,"Micromys minutus",5219833,"Animalia","Uusimaa","FI"
1858,NA,NA,64.104862,27.453221,"Micromys minutus",5219833,"Animalia","Kainuu","FI"
1859,NA,NA,64.46,24.26,"Micromys minutus",5219833,"Animalia","Pohjois-Pohjanmaa","FI"
1861,10,16,60.1942,25.0316,"Micromys minutus",5219833,"Animalia","Uusimaa","FI"
1862,9,8,57.0265,9.9555,"Micromys minutus",5219833,"Animalia","Region Nordjylland","DK"
1862,NA,NA,54.70999,-1.923918,"Micromys minutus",5219833,"Animalia","England","GB"
1863,10,1,57.0265,9.9555,"Micromys minutus",5219833,"Animalia","Region Nordjylland","DK"
1864,NA,NA,53.627477,-2.984322,"Micromys minutus",5219833,"Animalia","England","GB"
1865,12,9,61.2,25.11,"Micromys minutus",5219833,"Animalia","Kanta-Häme","FI"
1869,NA,NA,47.44821,9.59346,"Micromys minutus",5219833,"Animalia","Ar","CH"
1870,NA,NA,51.743498,-2.218653,"Micromys minutus",5219833,"Animalia","England","GB"
1870,NA,NA,52.731498,-2.519744,"Micromys minutus",5219833,"Animalia","England","GB"
1871,11,NA,51.552177,-0.342739,"Micromys minutus",5219833,"Animalia","England","GB"
1872,9,NA,52.550053,-2.812553,"Micromys minutus",5219833,"Animalia","England","GB"
1875,1,17,62.646287,27.183042,"Micromys minutus",5219833,"Animalia","Pohjois-Savo","FI"
1875,3,10,62.646287,27.183042,"Micromys minutus",5219833,"Animalia","Pohjois-Savo","FI"
1879,3,16,60.1942,25.0316,"Micromys minutus",5219833,"Animalia","Uusimaa","FI"
1879,8,15,62.048188,26.673634,"Micromys minutus",5219833,"Animalia","Etelä-Savo","FI"
1880,5,24,61.039426,24.513134,"Micromys minutus",5219833,"Animalia","Kanta-Häme","FI"
1880,NA,NA,51.190563,-0.212636,"Micromys minutus",5219833,"Animalia","England","GB"
